PRODUCT_ID,PRODUCT_NAME,PRODUCT_CATEGORY,PRICE,PRODUCT_COLOR,MANUFACTURING_DATE,EXPIRATION_DATE,WARRANTY_PERIOD,RATING,WEIGHT_GRAMS,DISCOUNT_PERCENTAGE
prod-00227,Cabot Vermont Cheddar (227),Dairy,27.27,White,2020-03-23,2027-01-18,34 months,4.1,1634,5
prod-00228,Navel Oranges (228),Fruits,17.89,Purple,2020-01-21,2026-11-01,26 months,4.4,657,10
prod-00229,Entenmann's Chocolate Donuts (229),Bakery,77.72,Red,2021-08-30,2028-11-03,24 months,4.2,1153,0
prod-00230,Chobani Greek Yogurt (230),Dairy,17.75,Orange,2024-07-06,2026-12-27,16 months,4.8,1320,10
prod-00231,Cucumbers 2-Pack (231),Vegetables,96.39,Red,2024-04-24,2029-07-26,24 months,3.7,362,20
prod-00232,Organic Gala Apples (232),Fruits,44.90,White,2021-01-08,2025-02-06,24 months,3.6,507,10
prod-00233,Oreo Double Stuf Cookies (233),Snacks,86.55,Yellow,2022-05-02,2027-03-26,19 months,3.4,1218,0
prod-00234,Doritos Nacho Cheese (234),Snacks,35.33,Black,2023-11-05,2025-09-09,35 months,3.1,1043,25
prod-00235,Lay's Classic Potato Chips (235),Snacks,10.23,Yellow,2021-02-06,2027-07-24,19 months,3.1,1089,25
prod-00236,Navel Oranges (236),Fruits,43.92,Blue,2021-08-03,2028-01-04,16 months,4.7,1166,10
prod-00237,Coca-Cola Classic 12-Pack (237),Beverages,79.45,Red,2022-07-06,2029-04-25,17 months,4.4,1885,5
prod-00238,Stouffer's Lasagna (238),Frozen Foods,55.92,Green,2021-05-30,2027-01-22,30 months,4.3,946,10
prod-00239,Popcorners Kettle Corn (239),Snacks,79.33,White,2021-05-15,2024-11-08,6 months,4.2,1159,20
prod-00240,Thomas' English Muffins (240),Bakery,41.75,Yellow,2020-12-24,2025-04-23,36 months,4.7,1581,20
prod-00241,Sargento Shredded Cheddar (241),Dairy,70.44,Yellow,2020-12-05,2027-05-11,15 months,4.0,1252,15
prod-00242,Doritos Nacho Cheese (242),Snacks,13.37,White,2022-12-07,2026-11-21,34 months,4.7,1642,5
prod-00243,Birds Eye Steamfresh Broccoli (243),Frozen Foods,63.66,Black,2023-12-13,2026-04-16,18 months,3.7,1167,5
prod-00244,Ben & Jerry's Chocolate Fudge Brownie (244),Frozen Foods,24.08,White,2021-06-18,2027-04-03,6 months,4.9,1184,10
prod-00245,Hot Pockets Ham & Cheese (245),Frozen Foods,38.77,Green,2023-05-18,2025-04-13,24 months,4.4,1661,10
prod-00246,Oroweat Whole Grain Bread (246),Bakery,46.37,Yellow,2021-02-22,2027-04-23,18 months,3.5,1486,20
prod-00247,Entenmann's Chocolate Donuts (247),Bakery,11.67,Yellow,2020-07-03,2028-05-14,15 months,4.1,974,15
prod-00248,Red Bell Peppers (248),Vegetables,35.74,Yellow,2020-06-21,2026-06-19,15 months,4.1,1244,0
prod-00249,Marie Callender's Chicken Pot Pie (249),Frozen Foods,33.54,Purple,2024-06-08,2025-07-09,12 months,3.3,596,10
prod-00250,Kind Protein Bars (250),Snacks,37.80,Black,2023-08-29,2028-10-19,12 months,4.2,257,5
prod-00251,Organic Baby Spinach (251),Vegetables,96.55,Green,2021-01-20,2027-08-23,32 months,3.6,1380,25
prod-00252,Sara Lee Honey Wheat Bread (252),Bakery,80.27,Black,2023-10-31,2026-06-06,14 months,3.1,1698,10
prod-00253,DiGiorno Pepperoni Pizza (253),Frozen Foods,50.02,Yellow,2019-11-08,2027-02-22,12 months,4.9,370,30
prod-00254,Marie Callender's Chicken Pot Pie (254),Frozen Foods,13.81,Purple,2024-04-18,2027-07-18,33 months,4.3,1434,15
prod-00255,Lipton Green Tea (255),Beverages,54.38,Orange,2021-09-13,2028-05-09,35 months,4.8,412,5
prod-00256,Cucumbers 2-Pack (256),Vegetables,59.69,Orange,2023-06-17,2026-02-08,31 months,4.4,1240,25
prod-00257,Yoplait Original Yogurt (257),Dairy,36.87,Yellow,2024-01-21,2029-06-15,8 months,3.7,1911,25
prod-00258,Lay's Classic Potato Chips (258),Snacks,95.12,Green,2023-12-26,2027-10-12,6 months,4.0,444,15
prod-00259,Pepperidge Farm Milano Cookies (259),Bakery,40.71,Orange,2023-09-13,2027-02-07,33 months,4.4,1301,5
prod-00260,Organic Baby Spinach (260),Vegetables,88.26,Yellow,2023-09-06,2026-09-24,11 months,4.9,216,10
prod-00261,Carrots 2lb Bag (261),Vegetables,10.24,Black,2021-03-30,2024-09-11,34 months,3.5,1799,15
prod-00262,Broccoli Crowns (262),Vegetables,16.06,Red,2024-02-11,2027-06-07,8 months,4.7,1120,20
prod-00263,Pepperidge Farm Milano Cookies (263),Bakery,33.49,Yellow,2023-05-12,2027-12-28,15 months,4.8,1878,5
prod-00264,Seedless Red Grapes (264),Fruits,97.28,Blue,2020-09-20,2025-03-07,33 months,4.3,1288,15
prod-00265,Chobani Greek Yogurt (265),Dairy,99.18,Blue,2019-11-30,2028-06-16,18 months,4.9,273,15
prod-00266,Ben & Jerry's Chocolate Fudge Brownie (266),Frozen Foods,44.38,Green,2020-06-05,2026-07-28,25 months,3.8,1754,0
prod-00267,Birds Eye Steamfresh Broccoli (267),Frozen Foods,7.83,White,2022-10-30,2025-10-28,33 months,4.9,848,0
prod-00268,Seedless Red Grapes (268),Fruits,84.64,White,2022-02-07,2024-11-26,13 months,4.4,254,25
prod-00269,DiGiorno Pepperoni Pizza (269),Frozen Foods,57.21,Black,2021-07-20,2029-05-06,7 months,3.1,1782,10
prod-00270,Birds Eye Steamfresh Broccoli (270),Frozen Foods,96.41,Blue,2022-12-14,2027-08-28,8 months,4.8,694,20
prod-00271,Avocados 4-Pack (271),Fruits,32.68,Red,2022-11-30,2029-08-13,29 months,4.0,1907,20
prod-00272,Marie Callender's Chicken Pot Pie (272),Frozen Foods,56.78,Black,2023-02-11,2025-03-02,12 months,3.9,1633,15
prod-00273,Philadelphia Cream Cheese (273),Dairy,41.83,White,2021-03-19,2029-01-22,24 months,4.1,409,15
prod-00274,Birds Eye Steamfresh Broccoli (274),Frozen Foods,65.46,Blue,2024-04-05,2028-02-07,11 months,3.3,1848,30
prod-00275,Birds Eye Steamfresh Broccoli (275),Frozen Foods,54.45,Red,2023-09-02,2029-03-20,22 months,3.9,1860,25
prod-00276,Pepperidge Farm Milano Cookies (276),Bakery,90.05,Yellow,2024-08-20,2026-08-12,32 months,4.7,333,15
prod-00277,Pepperidge Farm Milano Cookies (277),Bakery,21.91,Yellow,2023-04-30,2025-10-15,15 months,3.0,1474,5
prod-00278,Carrots 2lb Bag (278),Vegetables,84.02,Orange,2022-08-21,2026-10-26,33 months,3.5,261,10
prod-00279,Pringles Sour Cream & Onion (279),Snacks,16.74,Black,2020-10-15,2028-12-07,16 months,3.0,1714,10
prod-00280,Lipton Green Tea (280),Beverages,97.91,Purple,2023-01-23,2027-01-16,22 months,3.8,790,0
prod-00281,Nature Valley Granola Bars (281),Snacks,21.20,White,2022-08-28,2024-12-19,19 months,4.5,391,25
prod-00282,Carrots 2lb Bag (282),Vegetables,49.09,Green,2021-02-04,2026-10-24,33 months,4.6,226,15
prod-00283,Nature Valley Granola Bars (283),Snacks,48.74,Blue,2023-02-21,2029-02-22,24 months,4.9,792,15
prod-00284,DiGiorno Pepperoni Pizza (284),Frozen Foods,45.50,Purple,2021-08-10,2025-02-15,16 months,4.2,701,5
prod-00285,Lay's Classic Potato Chips (285),Snacks,98.17,Black,2022-06-14,2029-06-19,20 months,3.5,1217,15
prod-00286,Seedless Red Grapes (286),Fruits,21.89,White,2023-11-24,2025-12-03,23 months,4.8,1569,15
prod-00287,Horizon Organic Whole Milk (287),Dairy,90.65,Green,2021-07-18,2027-09-07,7 months,4.6,1212,10
prod-00288,Ben & Jerry's Chocolate Fudge Brownie (288),Frozen Foods,23.95,Black,2023-05-26,2024-09-05,27 months,4.1,487,30
prod-00289,Cabot Vermont Cheddar (289),Dairy,62.74,Black,2020-07-19,2028-10-27,16 months,4.4,879,15
prod-00290,Bananas Bunch (290),Fruits,55.36,Blue,2023-06-29,2025-04-02,33 months,4.8,348,25
prod-00291,Lipton Green Tea (291),Beverages,75.25,Red,2023-10-08,2029-07-27,32 months,4.4,280,5
prod-00292,Ben & Jerry's Chocolate Fudge Brownie (292),Frozen Foods,72.07,Black,2022-11-06,2027-03-16,20 months,3.7,1184,5
prod-00293,Pringles Sour Cream & Onion (293),Snacks,74.49,Orange,2023-01-01,2025-09-11,18 months,4.4,1270,20
prod-00294,Silk Almond Milk (294),Dairy,39.96,Black,2022-01-11,2029-04-02,19 months,3.1,1754,20
prod-00295,Starbucks Cold Brew (295),Beverages,32.08,Yellow,2023-04-07,2027-05-07,23 months,3.8,795,0
prod-00296,Nature Valley Granola Bars (296),Snacks,7.26,Orange,2019-11-30,2027-09-06,31 months,3.8,1900,5
prod-00297,Broccoli Crowns (297),Vegetables,35.78,Black,2022-03-06,2027-10-04,25 months,3.3,380,25
prod-00298,DiGiorno Pepperoni Pizza (298),Frozen Foods,27.06,Black,2020-04-02,2024-09-09,27 months,3.0,1689,5
prod-00299,Popcorners Kettle Corn (299),Snacks,43.86,Orange,2021-04-05,2027-12-19,33 months,3.3,1235,25
prod-00300,Dole Pineapple Chunks (300),Fruits,75.92,Orange,2020-01-10,2028-06-02,18 months,4.3,1810,25
prod-00301,Oreo Double Stuf Cookies (301),Snacks,94.90,White,2024-06-17,2025-10-17,17 months,4.6,396,10
prod-00302,Oreo Double Stuf Cookies (302),Snacks,12.12,Purple,2023-12-08,2025-10-19,12 months,5.0,790,20
prod-00303,Kind Protein Bars (303),Snacks,22.11,Purple,2021-09-22,2027-03-23,31 months,3.7,661,25
prod-00304,Cabot Vermont Cheddar (304),Dairy,48.87,Orange,2023-06-23,2025-08-07,6 months,4.2,1240,30
prod-00305,Pepsi Zero Sugar (305),Beverages,38.99,Purple,2024-04-28,2026-05-22,21 months,4.9,1150,0
prod-00306,Red Bull Energy Drink (306),Beverages,26.60,Purple,2024-05-15,2028-02-03,23 months,3.3,1555,10
prod-00307,Philadelphia Cream Cheese (307),Dairy,52.50,Black,2021-11-27,2025-02-20,29 months,4.4,410,25
prod-00308,Dave's Killer Bread (308),Bakery,8.40,Black,2024-06-22,2025-07-06,32 months,4.5,1826,30
prod-00309,Cabot Vermont Cheddar (309),Dairy,59.82,Green,2020-12-11,2025-09-03,31 months,3.2,974,30
prod-00310,Cucumbers 2-Pack (310),Vegetables,98.01,White,2019-10-27,2025-05-04,25 months,4.7,489,10
prod-00311,Russet Potatoes 5lb (311),Vegetables,72.57,Black,2023-05-19,2026-11-27,21 months,4.6,1798,20
prod-00312,Kind Protein Bars (312),Snacks,53.73,Purple,2024-04-28,2028-06-28,22 months,3.1,1585,10
prod-00313,Russet Potatoes 5lb (313),Vegetables,3.96,Purple,2019-12-17,2025-03-02,29 months,3.2,105,20
prod-00314,Carrots 2lb Bag (314),Vegetables,45.68,Red,2020-12-14,2028-03-15,25 months,3.1,802,5
prod-00315,Horizon Organic Whole Milk (315),Dairy,81.04,Orange,2023-12-02,2027-02-26,6 months,3.7,1110,5
prod-00316,Sargento Shredded Cheddar (316),Dairy,63.47,Black,2023-12-10,2028-09-10,24 months,4.0,629,20
prod-00317,Sweet Potatoes (317),Vegetables,98.67,Blue,2022-08-10,2024-09-26,25 months,4.1,258,25
prod-00318,Bananas Bunch (318),Fruits,53.04,Red,2022-07-07,2028-03-02,7 months,3.5,1431,15
prod-00319,Marie Callender's Chicken Pot Pie (319),Frozen Foods,50.00,White,2022-04-01,2028-05-24,28 months,4.8,1779,15
prod-00320,Coca-Cola Classic 12-Pack (320),Beverages,11.67,Green,2022-05-16,2024-09-01,16 months,3.7,1051,0
prod-00321,Roma Tomatoes (321),Vegetables,82.28,White,2020-11-23,2025-08-20,24 months,3.1,1318,15
prod-00322,Dole Pineapple Chunks (322),Fruits,91.03,Purple,2023-05-09,2028-07-15,12 months,3.6,1602,0
prod-00323,Marie Callender's Chicken Pot Pie (323),Frozen Foods,29.35,Black,2020-07-21,2025-11-14,35 months,4.1,329,30
prod-00324,Doritos Nacho Cheese (324),Snacks,67.70,Black,2022-10-07,2027-02-17,21 months,3.8,1629,20
prod-00325,Popcorners Kettle Corn (325),Snacks,4.44,Yellow,2020-05-05,2027-07-04,18 months,3.5,1825,25
prod-00326,Doritos Nacho Cheese (326),Snacks,35.32,Orange,2023-01-29,2025-12-05,21 months,3.3,1460,20
prod-00327,King's Hawaiian Rolls (327),Bakery,71.96,Blue,2019-08-30,2026-02-12,14 months,4.6,791,20
prod-00328,Lipton Green Tea (328),Beverages,21.74,Green,2023-09-16,2025-07-04,31 months,5.0,232,0
prod-00329,Cucumbers 2-Pack (329),Vegetables,55.14,Yellow,2024-08-01,2027-06-20,17 months,3.7,1048,10
prod-00330,Sweet Potatoes (330),Vegetables,31.39,Red,2024-07-08,2025-06-26,30 months,3.8,1843,0
prod-00331,Nature Valley Granola Bars (331),Snacks,67.98,Black,2022-11-30,2025-03-04,27 months,4.2,1780,25
prod-00332,Organic Gala Apples (332),Fruits,94.58,Red,2022-10-27,2025-08-08,29 months,4.4,258,30
prod-00333,Red Bull Energy Drink (333),Beverages,59.04,Blue,2021-01-09,2028-11-12,10 months,3.8,1395,25
prod-00334,Gatorade Lemon-Lime (334),Beverages,30.84,Red,2024-07-01,2026-02-28,8 months,4.8,632,30
prod-00335,Cucumbers 2-Pack (335),Vegetables,50.03,Blue,2020-05-17,2024-11-16,22 months,4.1,780,10
prod-00336,Lipton Green Tea (336),Beverages,68.45,Red,2023-02-10,2026-11-16,11 months,3.9,394,5
prod-00337,Starbucks Cold Brew (337),Beverages,24.98,White,2023-12-07,2026-04-05,7 months,4.3,1928,5
prod-00338,Silk Almond Milk (338),Dairy,74.76,Purple,2020-04-25,2025-12-19,23 months,4.9,1036,10
prod-00339,Organic Baby Spinach (339),Vegetables,70.59,White,2024-03-04,2025-11-04,14 months,4.6,920,30
prod-00340,Organic Gala Apples (340),Fruits,94.50,Purple,2024-04-10,2025-02-22,27 months,3.1,1453,25
prod-00341,Broccoli Crowns (341),Vegetables,11.51,Blue,2019-12-09,2027-04-11,12 months,3.7,1923,30
prod-00342,Pepperidge Farm Milano Cookies (342),Bakery,40.16,Purple,2024-05-05,2024-11-03,32 months,3.9,380,10
prod-00343,Navel Oranges (343),Fruits,5.46,Orange,2024-01-15,2025-11-19,7 months,3.6,1560,30
prod-00344,Nature Valley Granola Bars (344),Snacks,68.79,Orange,2022-12-28,2027-10-13,20 months,4.4,1187,15
prod-00345,Marie Callender's Chicken Pot Pie (345),Frozen Foods,67.73,White,2021-12-12,2025-09-06,34 months,4.7,458,10
prod-00346,Doritos Nacho Cheese (346),Snacks,35.91,Green,2020-02-13,2025-10-30,18 months,4.5,1112,10
prod-00347,Horizon Organic Whole Milk (347),Dairy,8.12,White,2023-11-11,2029-01-08,17 months,5.0,1352,20
prod-00348,Kind Protein Bars (348),Snacks,39.94,Orange,2024-05-03,2028-05-04,20 months,3.5,1737,0
prod-00349,Sweet Potatoes (349),Vegetables,40.25,Red,2024-07-20,2029-06-06,10 months,4.7,1929,10
prod-00350,Avocados 4-Pack (350),Fruits,27.47,Purple,2020-09-20,2027-11-04,7 months,4.5,1370,20
prod-00351,Entenmann's Chocolate Donuts (351),Bakery,93.65,Yellow,2023-10-17,2025-08-06,21 months,3.7,1215,10
prod-00352,Nestle Pure Life Water 6-Pack (352),Beverages,43.22,Black,2020-09-09,2029-08-09,7 months,4.5,946,15
prod-00353,Lay's Classic Potato Chips (353),Snacks,91.20,Orange,2021-04-18,2024-11-12,30 months,3.2,747,10
prod-00354,Dole Pineapple Chunks (354),Fruits,17.34,White,2019-12-18,2026-12-27,14 months,4.6,100,10
prod-00355,Organic Gala Apples (355),Fruits,46.93,White,2019-11-10,2026-04-16,12 months,4.1,414,20
prod-00356,Lay's Classic Potato Chips (356),Snacks,11.76,Yellow,2024-07-21,2026-05-14,23 months,3.6,1414,10
prod-00357,Lipton Green Tea (357),Beverages,64.44,Orange,2022-12-26,2024-10-20,18 months,4.3,1369,20
prod-00358,Marie Callender's Chicken Pot Pie (358),Frozen Foods,31.27,Purple,2022-05-15,2024-11-05,27 months,4.3,1363,30
prod-00359,Roma Tomatoes (359),Vegetables,25.27,Purple,2023-10-03,2028-02-06,35 months,3.4,580,0
prod-00360,Strawberries 1lb (360),Fruits,13.56,Blue,2023-07-31,2025-10-01,14 months,3.1,1395,20
prod-00361,Chobani Greek Yogurt (361),Dairy,64.24,Green,2020-10-03,2029-05-19,9 months,3.9,753,25
prod-00362,Red Bell Peppers (362),Vegetables,61.71,Black,2023-08-22,2026-12-22,33 months,4.1,1640,30
prod-00363,Ben & Jerry's Chocolate Fudge Brownie (363),Frozen Foods,4.15,Green,2020-07-24,2027-06-11,26 months,4.8,947,0
prod-00364,Lay's Classic Potato Chips (364),Snacks,77.60,White,2023-12-06,2026-11-24,14 months,4.9,888,25
prod-00365,Pringles Sour Cream & Onion (365),Snacks,21.01,Black,2019-10-30,2024-10-29,36 months,4.1,413,10
prod-00366,Stouffer's Lasagna (366),Frozen Foods,60.36,Red,2023-07-20,2025-11-01,33 months,4.5,1692,0
prod-00367,Sargento Shredded Cheddar (367),Dairy,24.69,Purple,2022-11-29,2028-10-07,16 months,3.9,238,5
prod-00368,Nature Valley Granola Bars (368),Snacks,48.87,Blue,2021-01-20,2027-07-01,27 months,4.5,597,25
prod-00369,Oroweat Whole Grain Bread (369),Bakery,84.21,Red,2024-02-14,2025-03-29,19 months,3.4,1450,5
prod-00370,Lipton Green Tea (370),Beverages,55.67,Purple,2020-12-31,2028-01-12,31 months,3.7,220,20
prod-00371,Sargento Shredded Cheddar (371),Dairy,70.95,Orange,2021-10-09,2026-11-10,25 months,4.3,1515,15
prod-00372,Lay's Classic Potato Chips (372),Snacks,40.71,Blue,2020-03-29,2029-04-12,20 months,3.0,564,10
prod-00373,Seedless Red Grapes (373),Fruits,35.96,White,2024-03-18,2027-09-26,7 months,4.4,1089,30
prod-00374,Dole Pineapple Chunks (374),Fruits,93.68,Yellow,2020-05-26,2025-11-08,18 months,4.7,1009,25
prod-00375,Tropicana Orange Juice 1L (375),Beverages,77.80,Red,2022-07-23,2027-03-24,9 months,3.8,1300,30
prod-00376,Blueberries Pint (376),Fruits,22.97,Red,2024-01-23,2028-06-28,16 months,3.9,463,5
prod-00377,Russet Potatoes 5lb (377),Vegetables,12.29,Orange,2020-07-23,2024-10-19,26 months,4.7,1621,15
prod-00378,Popcorners Kettle Corn (378),Snacks,36.90,Red,2021-10-18,2028-01-17,8 months,4.6,260,20
prod-00379,Sweet Potatoes (379),Vegetables,80.25,Black,2022-05-19,2026-02-08,26 months,3.6,763,0
prod-00380,Lay's Classic Potato Chips (380),Snacks,71.42,Blue,2024-06-15,2029-02-19,23 months,3.6,1066,10
prod-00381,Hot Pockets Ham & Cheese (381),Frozen Foods,93.63,Purple,2021-10-26,2025-04-10,29 months,4.4,649,25
prod-00382,Popcorners Kettle Corn (382),Snacks,60.43,Red,2021-05-30,2027-08-15,12 months,4.1,1458,0
prod-00383,Thomas' English Muffins (383),Bakery,34.42,Red,2021-06-03,2028-09-13,9 months,3.3,1173,10
prod-00384,Birds Eye Steamfresh Broccoli (384),Frozen Foods,85.79,Blue,2022-06-21,2028-07-12,36 months,3.6,846,5
prod-00385,Cabot Vermont Cheddar (385),Dairy,73.32,Black,2022-02-14,2027-02-16,8 months,4.8,188,15
prod-00386,Wonder Bread Classic White (386),Bakery,62.83,Orange,2022-04-04,2026-08-20,17 months,4.4,1699,20
prod-00387,Organic Baby Spinach (387),Vegetables,12.09,Purple,2024-07-08,2024-11-19,7 months,5.0,992,10
prod-00388,DiGiorno Pepperoni Pizza (388),Frozen Foods,16.43,Black,2020-03-27,2027-01-15,22 months,4.5,820,5
prod-00389,Hot Pockets Ham & Cheese (389),Frozen Foods,37.24,Orange,2023-08-04,2026-05-25,12 months,4.9,1348,25
prod-00390,Popcorners Kettle Corn (390),Snacks,75.14,Orange,2023-10-21,2025-11-11,20 months,3.4,485,20
prod-00391,Land O'Lakes Butter (391),Dairy,85.40,Green,2020-06-04,2025-03-19,13 months,4.5,1290,10
prod-00392,Ben & Jerry's Chocolate Fudge Brownie (392),Frozen Foods,63.36,Red,2021-12-20,2028-11-20,30 months,3.0,1837,30
prod-00393,Broccoli Crowns (393),Vegetables,13.59,Purple,2022-07-22,2025-06-15,16 months,4.3,753,5
prod-00394,Avocados 4-Pack (394),Fruits,13.57,Yellow,2022-02-22,2024-10-03,9 months,3.9,436,20
prod-00395,Marie Callender's Chicken Pot Pie (395),Frozen Foods,98.91,Yellow,2024-08-20,2025-12-18,21 months,3.7,689,0
prod-00396,Philadelphia Cream Cheese (396),Dairy,24.64,Green,2024-07-28,2025-05-25,20 months,4.7,534,30
prod-00397,Red Bell Peppers (397),Vegetables,67.89,Red,2022-05-13,2027-07-28,25 months,4.7,1645,15
prod-00398,Coca-Cola Classic 12-Pack (398),Beverages,36.01,Yellow,2022-03-14,2026-05-20,34 months,3.0,1371,15
prod-00399,Sara Lee Honey Wheat Bread (399),Bakery,29.28,Orange,2023-07-13,2028-06-24,36 months,4.2,1167,25
prod-00400,Navel Oranges (400),Fruits,50.30,Red,2020-11-24,2026-04-10,11 months,3.7,586,30
prod-00401,Russet Potatoes 5lb (401),Vegetables,17.95,Purple,2023-01-16,2025-01-14,34 months,3.8,1931,30
prod-00402,Roma Tomatoes (402),Vegetables,96.58,Blue,2021-10-11,2029-06-01,28 months,4.7,1600,25
prod-00403,Red Bull Energy Drink (403),Beverages,17.21,White,2023-12-16,2027-12-26,27 months,3.6,208,0
prod-00404,Pringles Sour Cream & Onion (404),Snacks,11.56,Orange,2020-11-12,2025-06-23,28 months,4.9,799,15
prod-00405,Organic Gala Apples (405),Fruits,43.97,Blue,2020-08-17,2025-04-13,28 months,3.4,1193,15
prod-00406,King's Hawaiian Rolls (406),Bakery,39.27,White,2022-03-04,2028-12-21,22 months,4.3,1867,10
prod-00407,Hot Pockets Ham & Cheese (407),Frozen Foods,13.74,Yellow,2022-06-21,2028-11-28,30 months,4.3,642,5
prod-00408,Horizon Organic Whole Milk (408),Dairy,13.79,Purple,2023-07-27,2027-08-30,15 months,3.5,904,0
prod-00409,Red Bull Energy Drink (409),Beverages,20.94,Black,2020-05-01,2025-08-28,13 months,3.6,1821,25
prod-00410,Broccoli Crowns (410),Vegetables,98.76,Blue,2022-04-15,2026-05-06,16 months,4.7,782,5
prod-00411,Lipton Green Tea (411),Beverages,65.54,Yellow,2019-10-31,2025-06-07,15 months,4.5,1232,15
prod-00412,Wonder Bread Classic White (412),Bakery,72.91,Green,2020-02-16,2027-10-04,6 months,3.7,708,5
prod-00413,Strawberries 1lb (413),Fruits,62.78,Green,2022-12-18,2029-04-04,11 months,4.1,938,20
prod-00414,Wonder Bread Classic White (414),Bakery,36.68,Yellow,2023-12-05,2025-06-03,36 months,3.1,649,0
prod-00415,Popcorners Kettle Corn (415),Snacks,57.23,Blue,2020-01-03,2028-06-22,24 months,3.4,363,0
prod-00416,Sara Lee Honey Wheat Bread (416),Bakery,66.15,Red,2023-11-28,2028-05-16,31 months,4.0,389,30
prod-00417,Wonder Bread Classic White (417),Bakery,68.84,Purple,2022-06-19,2027-12-06,31 months,3.2,244,30
prod-00418,Philadelphia Cream Cheese (418),Dairy,60.53,Red,2019-09-11,2025-03-03,34 months,4.7,628,0
prod-00419,Green Giant Cauliflower Rice (419),Frozen Foods,41.60,Red,2022-01-29,2028-11-29,22 months,4.4,193,10
prod-00420,Ben & Jerry's Chocolate Fudge Brownie (420),Frozen Foods,57.90,Blue,2020-11-07,2025-06-21,23 months,4.9,437,5
prod-00421,Land O'Lakes Butter (421),Dairy,70.87,Orange,2023-06-05,2027-04-22,19 months,4.4,1688,5
prod-00422,Pringles Sour Cream & Onion (422),Snacks,1.42,Purple,2020-07-25,2026-02-15,29 months,4.9,1098,25
prod-00423,Carrots 2lb Bag (423),Vegetables,43.55,Black,2020-03-08,2026-12-21,36 months,4.1,1955,10
prod-00424,Sara Lee Honey Wheat Bread (424),Bakery,16.10,Yellow,2020-06-25,2028-10-18,24 months,4.2,1744,0
prod-00425,Pepsi Zero Sugar (425),Beverages,66.65,Purple,2019-09-19,2025-02-12,23 months,5.0,1692,10
prod-00426,Land O'Lakes Butter (426),Dairy,9.57,Yellow,2022-05-21,2027-09-02,8 months,4.3,1783,10
prod-00427,Cucumbers 2-Pack (427),Vegetables,44.22,Orange,2023-11-07,2029-06-08,6 months,3.1,1184,15
prod-00428,Silk Almond Milk (428),Dairy,77.64,Black,2022-01-03,2025-05-01,20 months,4.4,1660,0
prod-00429,Starbucks Cold Brew (429),Beverages,12.34,Purple,2021-02-01,2026-10-10,9 months,4.8,177,25
prod-00430,Strawberries 1lb (430),Fruits,46.49,Orange,2021-12-24,2029-02-07,36 months,4.6,1662,20
prod-00431,Roma Tomatoes (431),Vegetables,92.77,Red,2020-11-30,2024-11-06,8 months,4.2,1554,25
prod-00432,Red Bell Peppers (432),Vegetables,47.43,White,2022-07-23,2026-03-11,22 months,4.3,198,15
prod-00433,Cabot Vermont Cheddar (433),Dairy,25.80,Orange,2021-08-07,2027-05-19,9 months,5.0,1663,0
prod-00434,Eggo Waffles Homestyle (434),Frozen Foods,48.77,Purple,2024-01-03,2024-11-04,9 months,3.2,745,30
prod-00435,Organic Gala Apples (435),Fruits,19.16,Yellow,2022-08-16,2028-07-05,13 months,4.3,908,0
prod-00436,Horizon Organic Whole Milk (436),Dairy,4.53,Blue,2021-12-21,2026-10-22,36 months,3.6,1438,0
prod-00437,Horizon Organic Whole Milk (437),Dairy,1.13,White,2021-06-30,2026-06-18,6 months,4.3,1346,5
prod-00438,Hot Pockets Ham & Cheese (438),Frozen Foods,43.93,Orange,2020-05-01,2025-01-13,13 months,4.2,1969,0
prod-00439,Eggo Waffles Homestyle (439),Frozen Foods,57.20,Yellow,2021-05-13,2029-01-31,6 months,3.3,1312,0
prod-00440,Oreo Double Stuf Cookies (440),Snacks,91.19,Yellow,2022-08-28,2028-08-14,10 months,3.4,1075,20
prod-00441,Nature Valley Granola Bars (441),Snacks,55.17,Purple,2020-08-28,2026-02-23,32 months,4.2,404,0
prod-00442,Sara Lee Honey Wheat Bread (442),Bakery,26.47,Green,2024-01-08,2025-10-06,12 months,3.3,975,10
prod-00443,Thomas' English Muffins (443),Bakery,85.56,Black,2020-05-10,2026-01-10,22 months,3.5,455,0
prod-00444,Kind Protein Bars (444),Snacks,62.67,Yellow,2023-07-04,2026-02-19,10 months,4.7,872,0
prod-00445,Coca-Cola Classic 12-Pack (445),Beverages,24.73,Red,2022-07-23,2024-12-15,23 months,3.7,1603,25
prod-00446,Pringles Sour Cream & Onion (446),Snacks,54.43,White,2020-04-19,2028-12-26,27 months,4.0,878,0
prod-00447,Sargento Shredded Cheddar (447),Dairy,63.28,Blue,2021-02-09,2027-11-01,31 months,4.9,1977,30
prod-00448,Pepperidge Farm Milano Cookies (448),Bakery,93.37,Yellow,2021-12-08,2028-03-05,36 months,3.5,1870,5
prod-00449,Blueberries Pint (449),Fruits,91.43,Red,2021-07-09,2028-01-12,24 months,3.8,139,15
prod-00450,Dave's Killer Bread (450),Bakery,86.65,Orange,2023-12-25,2026-06-16,8 months,4.2,575,5
prod-00451,Nature Valley Granola Bars (451),Snacks,42.14,Green,2020-12-31,2026-08-04,28 months,4.5,1237,20
prod-00452,Bananas Bunch (452),Fruits,6.00,Purple,2023-08-01,2026-07-25,28 months,4.8,1449,25
prod-00453,Nature Valley Granola Bars (453),Snacks,52.92,Orange,2020-04-29,2026-07-01,34 months,4.8,778,25
